"user_id","meta_value"
3979,"a:1:{s:8:""guardian"";b:1;}"
3178,"a:1:{s:8:""guardian"";b:1;}"
3851,"a:1:{s:8:""guardian"";b:1;}"
2933,"a:1:{s:8:""guardian"";b:1;}"
3205,"a:1:{s:8:""guardian"";b:1;}"
2641,"a:1:{s:8:""guardian"";b:1;}"
3637,"a:1:{s:8:""guardian"";b:1;}"
3771,"a:1:{s:8:""guardian"";b:1;}"
2603,"a:1:{s:8:""guardian"";b:1;}"
2602,"a:1:{s:8:""guardian"";b:1;}"
3229,"a:1:{s:8:""guardian"";b:1;}"
3124,"a:1:{s:8:""guardian"";b:1;}"
3986,"a:1:{s:8:""guardian"";b:1;}"
3803,"a:1:{s:8:""guardian"";b:1;}"
2886,"a:1:{s:8:""guardian"";b:1;}"
3775,"a:1:{s:8:""guardian"";b:1;}"
3937,"a:1:{s:8:""guardian"";b:1;}"
3337,"a:1:{s:8:""guardian"";b:1;}"
2869,"a:1:{s:8:""guardian"";b:1;}"
2596,"a:1:{s:8:""guardian"";b:1;}"
3914,"a:1:{s:8:""guardian"";b:1;}"
3043,"a:1:{s:8:""guardian"";b:1;}"
3458,"a:1:{s:8:""guardian"";b:1;}"
2457,"a:1:{s:8:""guardian"";b:1;}"
3583,"a:1:{s:8:""guardian"";b:1;}"
3374,"a:1:{s:8:""guardian"";b:1;}"
3252,"a:1:{s:8:""guardian"";b:1;}"
3233,"a:1:{s:8:""guardian"";b:1;}"
2766,"a:1:{s:8:""guardian"";b:1;}"
3367,"a:1:{s:8:""guardian"";b:1;}"
2979,"a:1:{s:8:""guardian"";b:1;}"
